name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified
O'Riley,MID,Brighton,1.5,0,0,9,0,12.2,629,0.04,0.1,0.06,2.42,239,4,0,2.5,5.4,2025-02-01T12:30:00Z,45,16,0,0,0,0,24,0,4902,0,0,7,7.0,1,-253,170,423,55,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Lewis,DEF,Newcastle,0.0,0,0,0,0,0.0,408,0.0,0.0,0.0,0.0,238,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,9,0,0,0,0,24,0,16058,0,2,1,0.0,0,-188,0,188,40,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Strand Larsen,FWD,Wolves,0.0,0,0,0,0,0.0,566,0.0,0.0,0.0,0.0,240,0,0,0.0,0.0,2025-02-01T17:30:00Z,0,2,0,0,0,0,24,0,166284,0,0,2,0.0,0,-59351,3753,63104,53,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Harris,MID,Everton,0.6,0,0,3,0,0.0,224,0.0,0.03,0.03,0.05,235,0,0,1.0,3.2,2025-02-01T15:00:00Z,2,11,0,0,0,0,24,0,15507,0,0,4,7.0,1,2578,3351,773,52,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Harris,MID,Everton,0.6,0,0,12,0,17.5,224,0.09,0.22,0.13,0.46,144,1,0,4.0,11.4,2025-02-12T19:30:00Z,65,12,0,0,0,0,24,0,15507,0,2,2,11.0,2,2578,3351,773,52,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Arthur,DEF,Brentford,0.0,0,0,0,0,0.0,705,0.0,0.0,0.0,0.0,233,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,18,0,0,0,0,24,0,1731,0,2,0,0.0,0,162,272,110,40,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Calafiori,DEF,Arsenal,2.0,0,0,3,0,0.8,578,0.0,0.0,0.0,0.0,231,0,0,0.1,0.0,2025-02-02T16:30:00Z,1,13,0,0,0,0,24,0,140740,0,1,5,0.0,1,4011,6195,2184,58,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Onana,GK,Man Utd,2.8,0,0,4,0,0.0,383,0.0,0.0,0.0,2.6,237,2,0,0.7,7.4,2025-02-02T14:00:00Z,90,7,0,0,0,0,24,1,728772,1,2,0,0.0,1,-21606,11417,33023,50,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Sonne,FWD,Leicester,0.0,0,0,0,0,0.0,198,0.0,0.0,0.0,0.0,235,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,8,0,0,0,0,24,0,22985,0,0,4,0.0,0,-17,598,615,51,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Souza,FWD,Chelsea,0.5,0,0,0,0,0.0,165,0.0,0.0,0.0,0.0,234,0,0,0.0,0.0,2025-02-03T20:00:00Z,0,19,0,0,0,0,24,0,16236,0,1,2,0.0,0,-162,241,403,49,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
O'Brien,MID,Nott'm Forest,0.0,0,0,0,0,0.0,439,0.0,0.0,0.0,0.0,239,0,0,0.0,0.0,2025-02-01T12:30:00Z,0,5,0,0,0,0,24,0,80,0,0,7,0.0,0,0,0,0,50,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Saka,MID,Arsenal,0.0,0,0,0,0,0.0,17,0.0,0.0,0.0,0.0,231,0,0,0.0,0.0,2025-02-02T16:30:00Z,0,13,0,0,0,0,24,0,1020176,0,1,5,0.0,0,-25750,307,26057,102,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Slater,DEF,Brighton,-0.5,0,0,0,0,0.0,685,0.0,0.0,0.0,0.0,239,0,0,0.0,0.0,2025-02-01T12:30:00Z,0,16,0,0,0,0,24,0,1798,0,0,7,0.0,0,35,131,96,40,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Spence,DEF,Spurs,2.8,0,3,38,1,28.7,504,0.08,0.1,0.02,2.06,233,0,0,6.4,33.4,2025-02-02T14:00:00Z,90,4,0,0,0,0,24,0,13745,1,2,0,2.0,9,-1526,233,1759,44,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
